actor_id,actor_login,following
85098,danvers,"1,692,4196,23469,38911,40809,41056,47046,53281,56100,57828,67555,71256,72895,85566,85608,96793,99944,123594,136959,155884,159488,170270,178399,191758,204892,216535,222051,226027,226778,279456,367108,381495,415312,545830,549654,581143,602511,636083,637269,643505,647317,733388,777278,919717,921925,978669,1144899,1187491,1234676,1308397,1330683,1365941,1366709,1528511,1587837,1619852,1629785,1785254,1799346,1841638,1988436,2146515,2178576,2182246,2310581,2319168,2320932,2346599,2415478,2660801,2690580,2857535,3076393,3393168,3414865,3578174,4069972,4141108,4668699,5424927,5439991,5560575,5877145,5898358,6508763,6744740,7081217,7132646,7369626,9034686,9600190,9761138,10254401,10349817,11282440,11337769,11447724,12577464,16688047,17827297,21250813,22229196,22904029,23460812,26147957,28811456,29264485,29314819,33380107,33874681,43045568,45735850,48634525,69219954"
85102,oscar-b,"326280,6403388"
85111,danwashusen,*
85112,heathseals,"6259,6961,18967,19172,80459"
85115,l0gicpath,"17815,25254,41829,46275,47046,59073,97088,188336,443125,584259,780485,1495032,1868037,2699235,6540297,9019397,11968347,14062273,16187979,17766317,20407524,48356317,55062873"
85125,efiring,*
85126,apayne,"358171,466945,796179,905988,1414921,4874095,5330967,11243542"
85134,AndreLion,"529,21373,25254,38546,43009,96356,97227,110953,143572,152125,153183,169705,183649,237176,239291,252317,262641,278913,359395,383701,384589,467745,494562,502396,507615,549654,561810,617438,663334,698455,721822,726566,901469,905434,970390,1010525,1014558,1018815,1164623,1234841,1323793,1336484,1403893,1405228,1491203,1537121,1829010,2155909,2282449,2330098,2993947,3103540,3122478,3196361,3271108,3736018,3746270,4198591,4221272,4312154,4642785,4645762,4987102,5550931,5717712,5799425,6594276,6960701,8287771,8353464,11371343,11719888,12790101,13194292,14026360,16398479,24842848,27487150"
85147,maxint,"378,706,10111,12790,24607,38565,41495,42082,53879,54970,58365,58860,83844,125547,163582,174761,175836,195836,233907,241138,290496,342945,396124,445459,470058,494385,532320,551151,558657,568948,729648,756433,773569,823865,947568,1107121,1152747,1195774,1282026,1392192,1449905,1478284,1734615,1769076,1915434,2241689,2467754,2520865,2577440,2626883,2696321,2706839,3772245,3848910,4225664,4838354,5379711,5433336,5722676,5764407,5897464,5918727,6635511,7040307,7525026,7694091,8046615,9587029,9867640,10518920,11216545,11374482,13804733,14027793,16593871,20308439,27178756,47437979,55238388"
85151,pwnage101,*
85167,liqian,"213099,2756670"
85169,mii,"1742,4395,7396,8460,57394,70106,77077,114726,153745,356330,375258,610707,637248,724236,771581,946043,1114146,1142178,1149946,1335613,1369547,1380979,1553376,1625226,1710774,2009124,2139672,4383736,5378879,5625494,6962811,62406756,81950385,95733904,103620719"
85176,lostgoat,"6637,887899,3487071"
85181,jmfieldman,"1214655,1310713,2086345,3213296,3839044,5402858,5402862,5402866,5402868,5402872,5402873,5402875,5402886,5402909,10711858"
85191,telendt,"567,1517,2621,3432,4965,7171,7396,7781,9516,19727,20774,26131,27620,42478,44390,46482,48721,49398,50872,61306,63387,67471,67496,68232,74661,80382,92498,95209,104030,107911,114509,115885,118015,121164,131590,134848,135621,181622,185672,211438,221943,273436,275966,293058,298143,299848,313837,328614,346655,348099,362064,377295,391987,425325,430014,444037,448014,456674,510328,516122,538008,538456,613233,629060,642819,646905,663003,685902,728850,733217,743438,761042,786068,796508,831175,851520,943810,962956,970862,970948,973334,980343,1021506,1188614,1210378,1225294,1277889,1320667,1360604,1398104,1406291,1443395,1507900,1560721,1622080,1674699,1684627,1718656,1907056,2041322,2083862,2447596,2506610,2894642,3501767,3674571,3728195,3804074,3814724,3855168,4324516,4437660,4557976,4779085,5006984,5609886,6411389,6965731,7300298,8510526,9036243,9440147,9684480,10129628,10255090,10772621,13388033,17164716,17411921,18263007,26111333,39369995"
85194,victortrac,"2056,96554,153942,161003,358830,422341,3924105,4961905,17597144"
85195,michaelansel,"423529,705937"
85196,hnakamura,"9023,9795,9958,16088,18634,23535,36316,44907,51196,65746,113245,142148,730728,5306415,10008845,15687742"
