,actor_id,org_id
3920,2805832,453694
3922,2805834,10077001
3923,2805845,22107085
3924,2805883,575083
3925,2805883,13742415
3928,2805883,55568125
3929,2805896,13000476
3930,2805896,19886934
3935,2805896,6759814
3936,2805896,18347996
3937,2805896,48722593
3954,2806012,1496237
3969,2806012,2684793
3974,2806012,2027722
3975,2806012,10440767
3994,2806012,16247783
4116,2806014,19506192
4138,2806034,13698419
4140,2806034,485433
4143,2806069,11962351
4145,2806076,8250695
4146,2806076,3373042
4147,2806076,37241739
4151,2806076,958072
4152,2806076,7535935
4158,2806076,33476427
4159,2806090,16467351
4233,2806104,22319415
4257,2806107,17542483
4258,2806122,786460
4260,2806149,6001914
4266,2806159,12941794
4268,2806167,761456
4269,2806167,7937847
4272,2806167,13393021
4277,2806167,36424623
4278,2806206,3299148
4279,2806206,8931462
4282,2806241,1492367
4327,2806256,25081492
4340,2806256,57742367
4350,2806266,48598909
4353,2806302,1978534
4356,2806302,42048915
4359,2806302,7843154
4370,2806302,54536011
4375,2806307,15658638
4377,2806307,45319586
4408,2806330,7526084
4413,2806379,528860
4417,2806379,57554844
4428,2806446,50329568
4445,2806503,14985020
4446,2806503,42048915
4459,2806525,19820480
4461,2806525,43396833
4463,2806547,1089146
4465,2806586,58335613
4475,2806587,25333391
4498,2806614,2810941
4506,2806623,962416
4507,2806623,3076047
4560,2806645,6413681
4561,2806645,1827800
4694,2806645,109426
4875,2806664,24802038
4882,2806664,55324774
4891,2806669,930379
4894,2806669,450574
4904,2806692,7370084
4913,2806772,22552083
4917,2806803,5388147
4922,2806803,58532553
4924,2806803,18487506
4926,2806803,37713493
4928,2806803,29864085
4930,2806803,27743011
4953,2806803,6844498
4956,2806803,1215250
4957,2806803,40338071
4958,2806803,31970254
4961,2806803,878437
4962,2806803,44036562
4966,2806839,5540808
4973,2806903,2758021
4977,2806955,13629408
4979,2806962,22484708
4980,2806964,1424964
4995,2807022,2654995
5037,2807035,27347476
5042,2807036,26548248
5064,2807060,451998
5065,2807060,3840027
5066,2807060,293207
5067,2807060,1334729
5068,2807060,5448020
5070,2807060,3834775
5071,2807060,2249537
5074,2807060,14127308
5076,2807060,7628018
5077,2807060,13686290
5078,2807060,5795842
