actor_id	rank
3507	1.8261838163459693e-07
3514	1.3479851894534784e-08
3515	1.3479851894534784e-08
3535	2.6601546171284842e-08
3548	3.725444990825032e-08
3556	1.53165052371732e-08
3557	4.940557872217294e-08
3563	2.1722355642053044e-08
3565	5.296824273111322e-08
3579	1.6243600573376264e-08
3586	1.5666249597107197e-08
3614	1.3479851894534784e-08
3620	1.3479851894534784e-08
3634	2.302146550818935e-08
3653	1.820083081845066e-08
3658	1.585683830768677e-08
3660	1.633505567529941e-08
3689	2.4956517495033296e-08
3737	1.3479851894534784e-08
3766	2.403155283170805e-08
3775	1.7476375140602365e-08
3782	1.6262648096724305e-08
3804	1.522456858564522e-08
3808	1.73556572269229e-08
3811	1.3479851894534784e-08
3818	1.9247436324293357e-08
3846	2.7904121350017703e-08
3853	1.8467532970862424e-08
3889	2.3779358446352597e-08
3891	1.3479851894534784e-08
3905	3.649528491423768e-08
3959	2.7290145236723727e-08
3967	4.969846349036083e-08
3977	1.9510931246461312e-08
3986	8.221508833342011e-08
3998	1.6868102618533805e-07
4002	1.645306302186852e-08
4016	1.5558206971421184e-08
4018	2.1418098949924317e-08
4026	2.1688110919933517e-08
4060	1.624726346134958e-08
4065	2.2852262255747053e-08
4068	2.056195531269824e-08
4095	1.892320271716278e-08
4100	1.8508424060181236e-08
4106	3.418638151354097e-08
4121	2.985680328657479e-08
4126	1.3479851894534784e-08
4142	5.0403669400567264e-08
4171	1.5101651904204425e-08
4182	3.0378818280242325e-08
4183	2.1032947228472894e-08
4196	4.777522121394539e-08
4197	1.7465698731679417e-08
4205	4.2665153220350735e-08
4236	1.6646557046671593e-08
4251	3.6400721844370355e-08
4252	2.7962877159956783e-08
4271	1.3479851894534784e-08
4293	1.747656214545571e-08
4331	1.698328638752726e-08
4338	1.91065633520844e-08
4346	2.647356420687903e-08
4353	1.6286553885708493e-08
4361	1.7803777513752915e-08
4365	1.6857485006408485e-08
4368	1.6868102618533805e-07
4378	3.0708005663662905e-08
4383	2.1560046863925673e-08
4390	2.3290928434896825e-08
4413	1.6951048592035087e-08
4437	1.3479851894534784e-08
4443	2.4676736683566896e-08
4453	1.9875938189727852e-08
4483	1.3479851894534784e-08
4493	1.8547387450694553e-08
4516	2.293980851691144e-08
4575	1.77472297924821e-08
4576	4.6459743400813345e-08
4584	1.3479851894534784e-08
4651	1.888307468090752e-08
4689	1.6518465937892824e-08
4718	1.5410974356602776e-08
4729	1.3479851894534784e-08
4756	1.6048664328182104e-08
4776	1.5700384688980287e-08
4780	2.740942072383946e-08
4804	6.96777282818941e-08
4821	1.3479851894534784e-08
4903	1.6558234636263208e-08
4912	1.3479851894534784e-08
4950	2.3151452932938627e-08
4963	4.3431306597817105e-08
4967	2.736146793277071e-08
4970	2.3799257136806706e-08
5043	1.454598187733502e-08
5054	1.1424874542695839e-07
5094	1.6437093376500858e-08
5099	1.3479851894534784e-08
5102	1.5994571495629395e-08
5136	1.3479851894534784e-08
5176	1.3479851894534784e-08
5180	2.311366158448361e-08
5213	2.6858005550550666e-08
5216	3.36448285108558e-08
5254	1.8792210068955802e-08
5261	1.882107765904894e-08
5268	2.599956411576339e-08
5271	2.7104268110146125e-08
5275	3.781174975249362e-08
5303	1.3479851894534784e-08
5310	1.6265865197958073e-08
5330	1.3479851894534784e-08
5336	1.8822928157977818e-08
5355	2.3794920235567992e-08
5363	1.8214337478978327e-08
5385	3.253107453241594e-08
5387	2.5380528629094426e-08
5390	1.8413139553656156e-08
5409	4.2600069942959365e-08
5426	1.712691651117693e-08
5517	1.3479851894534784e-08
5518	1.745794323109588e-08
5520	1.6289316481113833e-08
5545	1.644216494139554e-08
5565	2.555360309576476e-08
5572	4.8291675377382955e-08
5605	3.307031264650483e-08
5628	1.7151997146693172e-08
5636	1.1849586298237008e-07
5640	2.3885264788689242e-08
5649	1.3479851894534784e-08
5692	1.7589037863133192e-08
5703	3.06380098258313e-08
5738	2.2424621583029105e-08
5750	3.283197271668126e-08
5778	1.6638326789399775e-08
5799	1.7795483360349045e-08
5859	5.2549178591471725e-08
5865	1.6262960556854337e-08
5900	3.53719729452785e-08
5909	2.1364863735856388e-08
5920	2.4716892275666553e-08
5938	2.557751259866186e-08
5952	4.2991410671671474e-08
5975	1.3479851894534784e-08
6027	1.3479851894534784e-08
6028	2.4573061843296375e-08
6056	1.65015158262107e-08
6088	1.3479851894534784e-08
6097	3.955564173974284e-08
6104	2.1276283512278312e-08
6114	1.738734991372757e-08
6142	1.3479851894534784e-08
6163	1.6290538778252252e-08
6180	1.8020683182862622e-08
6193	3.802635162763818e-08
6214	1.3479851894534784e-08
6235	3.3834258825446643e-08
6251	6.123116344173444e-08
6269	1.3479851894534784e-08
6273	1.65091084592303e-08
6290	1.76474698432354e-08
6292	1.3479851894534784e-08
6321	5.2652682458214576e-08
6330	1.7933347769230596e-08
6338	1.8883521256017857e-08
6379	1.647218093641117e-08
6399	2.6982565168156995e-08
6401	1.9403694059852984e-08
6444	1.3479851894534784e-08
6473	2.8066828264938337e-08
6480	1.485477712436683e-08
6500	1.7827056170225157e-08
6508	7.4918849183772e-08
6605	1.658528328772342e-08
6637	1.3479851894534784e-08
6642	2.9370068832223105e-08
6678	3.4483552519369854e-08
6726	1.3479851894534784e-08
6843	3.7141384750509054e-08
6875	1.3479851894534784e-08
6889	1.6021952138843805e-08
6915	1.8115583875340915e-08
6916	2.9561168509442904e-08
6942	1.431474219445014e-07
7001	1.6812828771794042e-08
7032	1.3479851894534784e-08
7049	3.362000464866022e-08
7055	3.485356892156529e-08
7057	1.678708189766828e-08
7074	4.4812776816893186e-08
7130	3.889425615259323e-08
7139	1.5630489424361758e-08
7150	1.3479851894534784e-08
