,actor_id,issuecomment,openissue,openPR,reviewcomment,mergePR,label,participation_score,code_contribution_score
637,51102941,4.0,0.0,19.0,107.0,10.0,1,4.0,535.0
638,51123657,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
639,51190264,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
640,51193067,1.0,2.0,0.0,0.0,0.0,0,5.0,0.0
641,51236891,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
642,51314274,8.0,3.0,13.0,32.0,9.0,1,14.0,212.0
643,51369075,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
644,51416475,3.0,0.0,0.0,0.0,0.0,0,3.0,0.0
645,51417260,3.0,1.0,0.0,0.0,0.0,0,5.0,0.0
646,52000032,13.0,0.0,0.0,0.0,0.0,0,13.0,0.0
647,52125775,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
648,52353600,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
649,52485244,57.0,0.0,27.0,37.0,22.0,1,57.0,339.0
650,52520497,15.0,2.0,10.0,9.0,11.0,1,19.0,121.0
651,52529258,4.0,0.0,5.0,0.0,5.0,1,4.0,40.0
652,52576338,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
653,52579652,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
654,52589436,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
655,52735331,8.0,0.0,8.0,2.0,7.0,1,8.0,67.0
656,52780409,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
657,52785738,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
658,52813902,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
659,52873355,11.0,2.0,0.0,0.0,0.0,0,15.0,0.0
660,52893395,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
661,52959016,3.0,0.0,0.0,0.0,0.0,0,3.0,0.0
662,53050641,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
663,53207383,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
664,53228331,4.0,0.0,0.0,0.0,0.0,0,4.0,0.0
665,53300321,0.0,0.0,3.0,0.0,0.0,0,0.0,9.0
666,53330749,0.0,0.0,1.0,0.0,0.0,0,0.0,3.0
667,53335269,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
668,53423816,6.0,0.0,0.0,0.0,0.0,0,6.0,0.0
669,53635925,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
670,53958801,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
671,53987775,5.0,1.0,0.0,0.0,0.0,0,7.0,0.0
672,54018278,0.0,2.0,0.0,0.0,0.0,0,4.0,0.0
673,54031703,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
674,54087448,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
675,54314261,4.0,1.0,0.0,0.0,0.0,0,6.0,0.0
676,54409021,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
677,54427695,2.0,1.0,0.0,0.0,0.0,0,4.0,0.0
678,54431639,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
679,54463821,4.0,1.0,0.0,0.0,0.0,0,6.0,0.0
680,54679592,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
681,54712081,12.0,0.0,0.0,0.0,0.0,0,12.0,0.0
682,54735487,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
683,54929971,15.0,0.0,0.0,0.0,0.0,0,15.0,0.0
684,55010179,1.0,0.0,2.0,0.0,0.0,0,1.0,6.0
685,55041393,0.0,2.0,0.0,0.0,0.0,0,4.0,0.0
686,55098014,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
687,55306203,3.0,2.0,0.0,0.0,0.0,0,7.0,0.0
688,55533958,1.0,3.0,0.0,0.0,0.0,0,7.0,0.0
689,55796038,4.0,0.0,0.0,0.0,0.0,0,4.0,0.0
690,56210505,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
691,56222264,2.0,4.0,0.0,0.0,0.0,0,10.0,0.0
692,56465628,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
693,56477651,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
694,56532204,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
695,56670399,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
696,56712440,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
697,56715553,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
698,56818522,12.0,1.0,0.0,0.0,0.0,0,14.0,0.0
699,56824848,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
700,56901463,2.0,1.0,0.0,0.0,0.0,0,4.0,0.0
701,57120445,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
702,57163496,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
703,57218399,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
704,57249073,0.0,0.0,0.0,2.0,0.0,0,0.0,8.0
